id,requirement,rationale,verification_method,test_id
SIM-REQ-001,"The simulation shall reproduce the analytic no-drag projectile range within 2% tolerance.","Validates core RK4 integration against a known closed-form solution.",Unit test,test_no_drag_matches_analytical_range
SIM-REQ-002,"The simulation shall produce a shorter range under nonzero drag than under zero drag for identical launch conditions.","Confirms drag force reduces range as physically expected.",Unit test,test_drag_reduces_range
SIM-REQ-003,"The coordinate transform shall convert zero-azimuth range data entirely into the North component with zero East component.","Validates the ENU transform's directional correctness at a known reference case.",Unit test,test_range_to_enu_due_north
SIM-REQ-004,"Telemetry CSV output shall include all six required columns (t_s, x_m, y_m, east_m, north_m, up_m) in the defined schema order.","Ensures downstream analysis tools receive a consistent, documented schema.",Unit test,test_write_telemetry_csv
SIM-REQ-005,"An abort command issued at time T with latency L shall not take effect before T+L.","Models realistic command-and-control latency between ground and vehicle.",Unit test,test_abort
SIM-REQ-006,"Air density computed by the atmosphere model shall strictly decrease with increasing altitude within the valid ISA troposphere range.","Confirms the atmospheric model behaves physically.",Unit test,test_density_decreases_with_altitude
SIM-REQ-007,"The comparison pipeline shall identify the first time at which a residual exceeds a specified tolerance for at least three consecutive samples.","Prevents single-sample noise from being misreported as a sustained divergence.",Unit test,test_find_first_divergence_detects_sustained_exceedance
SIM-REQ-008,"The comparison pipeline shall not report divergence for a residual that exceeds tolerance for fewer than three consecutive samples.","Prevents false-positive divergence reports from transient noise.",Unit test,test_find_first_divergence_ignores_brief_spike
SIM-REQ-009,"A Monte Carlo campaign shall produce identical results when rerun with the same base seed.","Ensures campaign results are reproducible evidence, not one-off outputs.",Unit test,test_campaign_is_reproducible_with_same_seed
SIM-REQ-010,"Each run within a Monte Carlo campaign shall use a unique, independently derived random seed.","Prevents order-dependent or correlated randomness across runs.",Unit test,test_each_run_has_unique_seed
